family,family_common_name,scientific_name,classification,iucn_classification,assessment_date,iucn_assessment_date,authority,authority_link,species_link
Cichlidae,Cichlids,Haplochromis,CEN,,Jul-2024,,PG,,
Cichlidae,Cichlids,Haplochromis,CEN,,Jul-2024,,PG,,
Cichlidae,Cichlids,Haplochromis,CCR,,Jul-2024,,PG,,
Cichlidae,Cichlids,Haplochromis,CCR,,Jul-2024,,PG,,
Cichlidae,Cichlids,Haplochromis,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Haplochromis,CEN,,Jul-2024,,PG,,
Cichlidae,Cichlids,Harpagochromis cavifrons,CCR,DD,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1463
Cichlidae,Cichlids,Harpagochromis,CEN,,Jan-2020,,PVL,,
Cichlidae,Cichlids,Harpagochromis squamipinnis,CEN,,Jul-2024,,PG,,https://cichlidae.com/species.php?id=1551
Cichlidae,Cichlids,Harpagochromis vonlinnei,CR,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/185813/0,https://cichlidae.com/species.php?id=2026
Cichlidae,Cichlids,Harpagochromis,CNT,,Jan-2017,,GS,,https://cichlidae.com/species.php?id=941
Cichlidae,Cichlids,Harpagochromis,CCR,,Jul-2024,,PG,,
Cichlidae,Cichlids,Harpagochromis,CCR,,Jul-2024,,PG,,
Cichlidae,Cichlids,Harpagochromis,CEW,,Jan-2017,,GS,,
Cichlidae,Cichlids,Hemichromis cristatus,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=46
Cichlidae,Cichlids,Hemichromis fasciatus,CVU,,Jun-2020,,AL,,https://cichlidae.com/species.php?id=408
Cichlidae,Cichlids,Herichthys bartoni,VU,,Aug-1996,,IUCN,http://www.iucnredlist.org/details/192893/0,https://cichlidae.com/species.php?id=204
Cichlidae,Cichlids,Herichthys labridens,CVU,EN,Jan-2017,Aug-1996,PVL,,https://cichlidae.com/species.php?id=209
Cichlidae,Cichlids,Herichthys minckleyi,VU,,Aug-1996,,IUCN,http://www.iucnredlist.org/details/4836/0,https://cichlidae.com/species.php?id=212
Cichlidae,Cichlids,Hericythys steindachneri,NT,,Mar-2007,,IUCN,http://www.iucnredlist.org/details/169397/0,https://cichlidae.com/species.php?id=214
Cichlidae,Cichlids,Herichthys tepehua,CNT,,Jan-2017,,CRC,https://cichlidae.com,https://cichlidae.com/species.php?id=206
Cichlidae,Cichlids,Heterochromis multidens,CNT,LC,Jan-2017,Feb-2009,PVL,,https://cichlidae.com/species.php?id=48
Cichlidae,Cichlids,Hoplotilapia retrodens,CEW,VU,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=1720
Cichlidae,Cichlids,Julidochromis marksmithi,CNT,,Jan-2024,,AK,,
Cichlidae,Cichlids,Julidochromis,CCR,,Jan-2024,,AK,,
Cichlidae,Cichlids,Katria katria,CVU,VU,Jan-2017,Jun-2016,PVL,,https://cichlidae.com/species.php?id=351
Cichlidae,Cichlids,Konia dikume,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/11054/0,https://cichlidae.com/species.php?id=998
Cichlidae,Cichlids,Konia eisentrauti,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/11055/0,https://cichlidae.com/species.php?id=999
Cichlidae,Cichlids,Labidochromis joanjohnsonae,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61118/148845802,https://cichlidae.com/species.php?id=470
Cichlidae,Cichlids,Labrochromis ishmaeli,CEW,CR,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1399
Cichlidae,Cichlids,Lethrinops altus,CVU,LC,Jan-2017,Jun-2018,AK,,https://cichlidae.com/species.php?id=1229
Cichlidae,Cichlids,Lethrinops macracanthus,CVU,DD,Jan-2017,Jun-2018,AK,,https://cichlidae.com/species.php?id=1432
Cichlidae,Cichlids,Lethrinops macrophthalmus,CVU,LC,Jan-2017,Jun-2018,AK,,https://cichlidae.com/species.php?id=1441
Cichlidae,Cichlids,Lethrinops micrentodon,CVU,DD,Jan-2017,May-2018,AK,,https://cichlidae.com/species.php?id=1424
Cichlidae,Cichlids,Lethrinops microdon,CVU,DD,Jan-2017,Jan-2018,AK,,https://cichlidae.com/species.php?id=1434
Cichlidae,Cichlids,Limbochromis robertsi,CVU,EN,Jan-2017,Apr-2006,AL,,https://cichlidae.com/species.php?id=1149
Cichlidae,Cichlids,Lipochromis cryptodon,CEN,DD,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1498
Cichlidae,Cichlids,Lipochromis maxillaris,CEN,VU,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1836
Cichlidae,Cichlids,Lipochromis melanopterus,CEN,VU,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=987
Cichlidae,Cichlids,Lipochromis microdon,CEN,CR,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1843
Cichlidae,Cichlids,Lipochromis parvidens,CEW,LC,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=983
Cichlidae,Cichlids,Lipochromis parvidens,CEN,LC,Jan-2017,Jan-2006,GS,,https://cichlidae.com/species.php?id=1438
Cichlidae,Cichlids,Lipochromis taurinus,CVU,LC,Jan-2017,Jan-2006,GS,,https://cichlidae.com/species.php?id=1947
Cichlidae,Cichlids,Lipochromis,CEW,,Jan-2017,,GS,,
Cichlidae,Cichlids,Lipochromis,CEN,,Jan-2017,,GS,,
Cichlidae,Cichlids,Lipochromis,CEW,,Jan-2017,,GS,,
Cichlidae,Cichlids,Lithochromis rubripinnis,CCR,LC,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=1723
Cichlidae,Cichlids,Lithochromis rufus,CCR,LC,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=1949
Cichlidae,Cichlids,Lithochromis xanthopteryx,VU,,Apr-2010,,IUCN,http://www.iucnredlist.org/details/60570/0,https://cichlidae.com/species.php?id=1846
Cichlidae,Cichlids,Macropleurodus bicolor,VU,,Apr-2010,,IUCN,http://www.iucnredlist.org/details/12616/0,https://cichlidae.com/species.php?id=1278
Cichlidae,Cichlids,Mbipia lutea,VU,,Apr-2010,,IUCN,http://www.iucnredlist.org/details/60574/0,https://cichlidae.com/species.php?id=949
Cichlidae,Cichlids,Mbipia,CNT,,Jan-2017,,GS,,
Cichlidae,Cichlids,Mbipia,CNT,,Jan-2017,,GS,,
Cichlidae,Cichlids,Mchenga conophoros,CVU,CR,Jan-2017,May-2018,AK,,https://cichlidae.com/species.php?id=1206
Cichlidae,Cichlids,Mchenga cyclicos,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/60862/148845333,https://cichlidae.com/species.php?id=1163
Cichlidae,Cichlids,Mchenga flavimanus,CEN,LC,Jan-2017,Jun-2018,AK,,https://cichlidae.com/species.php?id=1163
Cichlidae,Cichlids,Melanochromis chipokae,CEN,CR,Jan-2017,May-2018,AK,,https://cichlidae.com/species.php?id=75
Cichlidae,Cichlids,Melanochromis lepidiadaptes,CR,,May-2018,,IUCN,https://www.iucnredlist.org/species/61121/148653388,https://cichlidae.com/species.php?id=472
Cichlidae,Cichlids,Melanochromis mossambiquensis,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/57486681/148848009,https://cichlidae.com/species.php?id=2061
Cichlidae,Cichlids,Melanochromis robustus,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61127/148845927,https://cichlidae.com/species.php?id=466
Cichlidae,Cichlids,Melanochromis vermivorus,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61129/148846067,https://cichlidae.com/species.php?id=478
Cichlidae,Cichlids,Melanochromis wochepa,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/57486708/148848174,https://cichlidae.com/species.php?id=2062
Cichlidae,Cichlids,Metriaclima greshakei,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61142/148846463,https://cichlidae.com/species.php?id=1374
Cichlidae,Cichlids,Metriaclima xanstomachus,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61154/148846595,https://cichlidae.com/species.php?id=1382
Cichlidae,Cichlids,Myaka myaka,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/14034/0,https://cichlidae.com/species.php?id=915
Cichlidae,Cichlids,Mylochromis ensatus,CVU,LC,Jan-2024,Jun-2018,AK / (IUCN),,https://cichlidae.com/species.php?id=1507
Cichlidae,Cichlids,Mylochromis gracilis,CVU,LC,Jan-2024,Jun-2018,AK / (IUCN),,https://cichlidae.com/species.php?id=1509
Cichlidae,Cichlids,Mylochromis lateristriga,CEN,LC,Jan-2024,Jun-2018,AK,,https://cichlidae.com/species.php?id=1504
Cichlidae,Cichlids,Mylochromis obtusus,CEW,LC,Jan-2017,Jun-2018,AK,,https://cichlidae.com/species.php?id=1515
Cichlidae,Cichlids,Mylochromis,CEW,,Jan-2017,,AK,,https://cichlidae.com/species.php?id=2851
Cichlidae,Cichlids,Nanochromis transvestitus,CEN,EN,Aug-2025,Feb-2009,AL,,https://cichlidae.com/species.php?id=84
Cichlidae,Cichlids,Neochromis gigas,VU,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/61094/0,https://cichlidae.com/species.php?id=937
Cichlidae,Cichlids,Neochromis greenwoodi,CVU,,Jan-2017,,GS,,https://cichlidae.com/species.php?id=938
Cichlidae,Cichlids,Neochromis omnicaeruleus,CVU,LC,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=939
Cichlidae,Cichlids,Neochromis rufocaudalis,CVU,LC,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=935
Cichlidae,Cichlids,Neochromis simotes,CCR,DD,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=1904
Cichlidae,Cichlids,Neochromis,CEN,,Jul-2024,,PG,,
Cichlidae,Cichlids,Neochromis,CNT,,Jan-2017,,GS,,
Cichlidae,Cichlids,Neochromis,CVU,,Jan-2017,,GS,,https://cichlidae.com/species.php?id=2344
Cichlidae,Cichlids,Neolamprologus leleupi longior “yellow”,CVU,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=1816
Cichlidae,Cichlids,Neolamprologus mustax “Mbita”,CCR,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=1816
Cichlidae,Cichlids,Nyassachromis boadzulu,EN,,May-2018,,IUCN,http://www.iucnredlist.org/details/60859/0,https://cichlidae.com/species.php?id=1168
Cichlidae,Cichlids,Nyassachromis breviceps,CEW,CR,Jul-2024,May-2018,AK,,https://cichlidae.com/species.php?id=1332
Cichlidae,Cichlids,Nyassachromis,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2852
Cichlidae,Cichlids,Ophthalmotilapia boops,CCR,LC,Jan-2017,Jan-2006,AK,,https://cichlidae.com/species.php?id=685
Cichlidae,Cichlids,Oreochromis alcalica,EN,,Sep-2006,,IUCN,http://www.iucnredlist.org/details/60452/0,https://cichlidae.com/species.php?id=571
Cichlidae,Cichlids,Oreochromis amphimelas,EN,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/60629/0,https://cichlidae.com/species.php?id=1075
Cichlidae,Cichlids,Oreochromis andersonii,VU,,Mar-2007,,IUCN,https://www.iucnredlist.org/species/60623/12385801,https://cichlidae.com/species.php?id=1055
Cichlidae,Cichlids,Oreochromis chungruruensis,CR,,May-2018,,IUCN,http://www.iucnredlist.org/details/60626/0,https://cichlidae.com/species.php?id=1080
Cichlidae,Cichlids,Oreochromis esculentus,NT,,Mar-2021,,IUCN,https://www.iucnredlist.org/species/15457/47182096,https://cichlidae.com/species.php?id=1082
Cichlidae,Cichlids,Oreochromis grahami,EN,,Jun-2022,,IUCN,http://www.iucnredlist.org/details/60453/0,https://cichlidae.com/species.php?id=572
Cichlidae,Cichlids,Oreochromis hunteri,CR,,Jun-2022,,IUCN,http://www.iucnredlist.org/details/60634/0,https://cichlidae.com/species.php?id=1045
Cichlidae,Cichlids,Oreochromis jipe,EN,,Jun-2022,,IUCN,http://www.iucnredlist.org/details/60628/0,https://cichlidae.com/species.php?id=1089
Cichlidae,Cichlids,Oreochromis karomo,CR,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/60632/0,https://cichlidae.com/species.php?id=1091
Cichlidae,Cichlids,Oreochromis karongae,EN,,May-2004,,IUCN,http://www.iucnredlist.org/details/61293/0,https://cichlidae.com/species.php?id=1092
Cichlidae,Cichlids,Oreochromis latilabris,VU,,Jun-2006,,IUCN,http://www.iucnredlist.org/details/60319/0,https://cichlidae.com/species.php?id=573
Cichlidae,Cichlids,Oreochromis lepidurus,EN,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/60319/0,https://cichlidae.com/species.php?id=1094
Cichlidae,Cichlids,Oreochromis lidole,EN,,May-2004,,IUCN,http://www.iucnredlist.org/details/61276/0,https://cichlidae.com/species.php?id=1096
Cichlidae,Cichlids,Oreochromis macrochir,VU,,Mar-2007,,IUCN,https://www.iucnredlist.org/species/63336/12659168,https://cichlidae.com/species.php?id=1097
Cichlidae,Cichlids,Oreochromis mortimeri,CR,,Mar-2007,,IUCN,https://www.iucnredlist.org/species/63337/12659594,https://cichlidae.com/species.php?id=1100
Cichlidae,Cichlids,Oreochromis mossambicus,VU,,Oct-2017,,IUCN,https://www.iucnredlist.org/species/63338/174782954,https://cichlidae.com/species.php?id=1054
Cichlidae,Cichlids,Oreochromis ndalalani,VU,,Jun-2006,,IUCN,http://www.iucnredlist.org/details/61291/0,https://cichlidae.com/species.php?id=574
Cichlidae,Cichlids,Oreochromis rukwaensis,CEN,VU,Jan-2017,Jan-2006,PVL,,https://cichlidae.com/species.php?id=1116
Cichlidae,Cichlids,Oreochromis squamipinnis,CR,,May-2018,,IUCN,http://www.iucnredlist.org/details/60760/0,https://cichlidae.com/species.php?id=1051
Cichlidae,Cichlids,Oreochromis variabilis,NT,,Feb-2020,,IUCN,http://www.iucnredlist.org/details/15458/0,https://cichlidae.com/species.php?id=1062
Cichlidae,Cichlids,Otopharynx pachycheilus,VU,,May-2018,,IUCN,http://www.iucnredlist.org/details/61002/0,https://cichlidae.com/species.php?id=1039
Cichlidae,Cichlids,Otopharynx selenurus,CEN,DD,Jul-2024,May-2018,AK,,https://cichlidae.com/species.php?id=1040
Cichlidae,Cichlids,Otopharynx,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2480
Cichlidae,Cichlids,Otopharynx,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2481
Cichlidae,Cichlids,Otopharynx,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2486
Cichlidae,Cichlids,Otopharynx,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=1445
Cichlidae,Cichlids,Paralabidochromis beadlei,CR,,Aug-1996,,IUCN,http://www.iucnredlist.org/details/16115/0,https://cichlidae.com/species.php?id=1273
Cichlidae,Cichlids,Paralabidochromis chilotes,CVU,LC,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=83
Cichlidae,Cichlids,Paralabidochromis chromogynos,VU,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/60647/0,https://cichlidae.com/species.php?id=913
Cichlidae,Cichlids,Paralabidochromis crassilabris,CR,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/16118/0,https://cichlidae.com/species.php?id=1492
Cichlidae,Cichlids,Paralabidochromis labiatus,NT,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/60507/0,https://cichlidae.com/species.php?id=1805
Cichlidae,Cichlids,Paralabidochromis plagiodon,CVU,VU,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1926
Cichlidae,Cichlids,Paralabidochromis sauvagei,CVU,VU,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=31
Cichlidae,Cichlids,Paralabidochromis victoriae,CCR,DD,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=914
Cichlidae,Cichlids,Paralabidochromis,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Paralabidochromis,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Paratilapia polleni,VU,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/16199/0,https://cichlidae.com/species.php?id=353
Cichlidae,Cichlids,Paratilapia,CEN,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paratilapia,CEN,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paratilapia,CEN,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paratilapia,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=2698
Cichlidae,Cichlids,Paratilapia,CCR,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paratilapia,CR,,,,,,
Cichlidae,Cichlids,Paretroplus dambabe,EN,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/44495/0,https://cichlidae.com/species.php?id=568
Cichlidae,Cichlids,Paretroplus damii,VU,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/40706/0,https://cichlidae.com/species.php?id=341
Cichlidae,Cichlids,Paretroplus kieneri,VU,,Jul-2016,,IUCN,http://www.iucnredlist.org/details/16235/0,https://cichlidae.com/species.php?id=343
Cichlidae,Cichlids,Paretroplus,CEN,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paretroplus maculatus,CR,,May-2016,,IUCN,http://www.iucnredlist.org/details/16236/0,https://cichlidae.com/species.php?id=343
Cichlidae,Cichlids,Paretroplus maromandia,EN,,Jul-2016,,IUCN,http://www.iucnredlist.org/details/44493/0,https://cichlidae.com/species.php?id=344
Cichlidae,Cichlids,Paretroplus menarambo,CR,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/44492/0,https://cichlidae.com/species.php?id=345
Cichlidae,Cichlids,Paretroplus nourissati,EN,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/44494/0,https://cichlidae.com/species.php?id=346
Cichlidae,Cichlids,Paretroplus polyactis,VU,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/16238/0,https://cichlidae.com/species.php?id=348
Cichlidae,Cichlids,Paretroplus tsimoly,EN,,Jul-2016,,IUCN,http://www.iucnredlist.org/details/44500/0,https://cichlidae.com/species.php?id=349
Cichlidae,Cichlids,Paretroplus,VU,,,,,,
Cichlidae,Cichlids,Paretroplus,CVU,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paretroplus,CCR,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Paretroplus,CVU,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Pelvicachromis sacrimontis,CVU,,Jan-2017,,AL,,https://cichlidae.com/species.php?id=917
Cichlidae,Cichlids,Pelvicachromis silviae,CVU,,Jan-2017,,AL,,https://cichlidae.com/species.php?id=123
Cichlidae,Cichlids,Petrochromis,CCR,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=1855
Cichlidae,Cichlids,Placidochromis longimanus,CVU,LC,Jul-2024,Jun-2018,AK,,https://cichlidae.com/species.php?id=499
Cichlidae,Cichlids,Placidochromis phenochilus,EN,,Jun-2018,,IUCN,http://www.iucnredlist.org/details/60979/0,https://cichlidae.com/species.php?id=131
Cichlidae,Cichlids,Placidochromis,CVU,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2503
Cichlidae,Cichlids,Placidochromis,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2509
Cichlidae,Cichlids,Placidochromis,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=988
Cichlidae,Cichlids,Platytaeniodus degeni,CEW,LC,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=1585
Cichlidae,Cichlids,Platytaeniodus,CVU,,Jan-2017,,GS,,https://cichlidae.com/species.php?id=2046
Cichlidae,Cichlids,Prognathochromis argenteus,CR,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/60538/0,https://cichlidae.com/species.php?id=1248
Cichlidae,Cichlids,Prognathochromis bayoni,CCR,DD,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1269
Cichlidae,Cichlids,Prognathochromis (Haplochromis) gowersi,CCR,DD,Jul-2024,Apr-2010,IUCN,https://www.iucnredlist.org/species/18316/96989483,https://cichlidae.com/species.php?id=1269
Cichlidae,Cichlids,Prognathochromis perrieri,CEW,CR,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=2066
Cichlidae,Cichlids,Prognathochromis,CNT,,Jan-2017,,GS,,
Cichlidae,Cichlids,Protomelas,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2298
Cichlidae,Cichlids,Protomelas,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=132
Cichlidae,Cichlids,Psammochromis aelocephalus,CR,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/60662/0,https://cichlidae.com/species.php?id=378
Cichlidae,Cichlids,Psammochromis riponianus,CVU,LC,Jul-2009,Mar-2010,GS,,https://cichlidae.com/species.php?id=1903
Cichlidae,Cichlids,Psammochromis schubotzi,CEN,,Jul-2024,,PG,,https://cichlidae.com/species.php?id=1953
Cichlidae,Cichlids,Pseudotropheus brevis,EN,,May-2018,,IUCN,https://www.iucnredlist.org/species/61111/148653947,https://cichlidae.com/species.php?id=2551
Cichlidae,Cichlids,Pseudotropheus cyaneorhabdos,EN,,May-2018,,IUCN,https://www.iucnredlist.org/species/61113/148659251,https://cichlidae.com/species.php?id=467
Cichlidae,Cichlids,Pseudotropheus galanos,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61113/148659251,https://cichlidae.com/species.php?id=531
Cichlidae,Cichlids,Pseudotropheus interruptus,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61117/47235125,https://cichlidae.com/species.php?id=469
Cichlidae,Cichlids,Pseudotropheus tursiops,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61177/148847376,https://cichlidae.com/species.php?id=546
Cichlidae,Cichlids,Pseudotropheus williamsi,NT,,Jun-2018,,IUCN,https://www.iucnredlist.org/species/61178/47239051,https://cichlidae.com/species.php?id=524
Cichlidae,Cichlids,Pseudocrenilabrus,CVU,,Jul-2024,,PG,,
Cichlidae,Cichlids,Pseudocrenilabrus,CVU,,Jul-2024,,PG,,
Cichlidae,Cichlids,Ptychochromis curvidens,CVU,,Jan-2017,,TECM,,https://cichlidae.com/species.php?id=1663
Cichlidae,Cichlids,Ptychochromis grandidieri,CVU,LC,Jan-2017,Jun-2016,IUCN,http://www.iucnredlist.org/details/44502/0,https://cichlidae.com/species.php?id=955
Cichlidae,Cichlids,Ptychochromis inornatus,EN,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/44503/0,https://cichlidae.com/species.php?id=747
Cichlidae,Cichlids,Ptychochromis insolitus,CCR,CR,Jan-2017,Jun-2016,IUCN,http://www.iucnredlist.org/details/44510/0,https://cichlidae.com/species.php?id=1664
Cichlidae,Cichlids,Ptychochromis loisellei,CVU,EN,Jan-2017,Jul-2016,IUCN,http://www.iucnredlist.org/details/44499/0,https://cichlidae.com/species.php?id=2672
Cichlidae,Cichlids,Ptychochromis mainty,CVU,,Jan-2017,,TECM,,https://cichlidae.com/species.php?id=2117
Cichlidae,Cichlids,Ptychochromis makira,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=1661
Cichlidae,Cichlids,Ptychochromis oligacanthus,EN,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/18830/0,https://cichlidae.com/species.php?id=353
Cichlidae,Cichlids,Ptychochromis,CVU,,Jan-2017,,TECM,,
Cichlidae,Cichlids,Ptychochromoides betsileanus,CR,,Jun-2016,,IUCN,http://www.iucnredlist.org/details/18832/0,https://cichlidae.com/species.php?id=350
Cichlidae,Cichlids,Ptychochromoides vondrozo,EN,,May-2016,,IUCN,http://www.iucnredlist.org/details/44511/0,https://cichlidae.com/species.php?id=954
Cichlidae,Cichlids,Ptyochromis fischeri,VU,,Jul-2010,,IUCN,http://www.iucnredlist.org/details/185824/0,
Cichlidae,Cichlids,Ptyochromis,CEN,,Jul-2017,,GS,,
Cichlidae,Cichlids,Ptyochromis,CVU,,Jul-2009,,GS,,
Cichlidae,Cichlids,Pundamilia igneopinnis,EN,,Apr-2010,,IUCN,http://www.iucnredlist.org/details/60670/0,https://cichlidae.com/species.php?id=945
Cichlidae,Cichlids,Pundamilia macrocephala,VU,,Apr-2010,,IUCN,http://www.iucnredlist.org/details/60671/0,https://cichlidae.com/species.php?id=946
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia nyererei,CVU,,Aug-2025,,PG,,
Cichlidae,Cichlids,Pundamilia pundamilia,CVU,LC,Jan-2017,Apr-2010,GS,,https://cichlidae.com/species.php?id=943
Cichlidae,Cichlids,Pundamilia,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Pundamilia,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Pundamilia,CVU,,Jan-2020,,GS,,
Cichlidae,Cichlids,Pundamilia,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Pungu maclareni,CR,,Mar-2007,,IUCN,http://www.iucnredlist.org/details/18879/0,https://cichlidae.com/species.php?id=971
Cichlidae,Cichlids,Pyxichromis orthostoma,CEN,VU,Jan-2017,Aug-1996,GS,,https://cichlidae.com/species.php?id=974
Cichlidae,Cichlids,Rocio spinosissima,CVU,LC,Jan-2017,Mar-2007,PVL,,https://cichlidae.com/species.php?id=171
Cichlidae,Cichlids,Sarotherodon caroli,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/19908/0,https://cichlidae.com/species.php?id=1000
Cichlidae,Cichlids,Sarotherodon knauerae,CCR,,Aug-2025,,AL,,https://cichlidae.com/species.php?id=2080
Cichlidae,Cichlids,Sarotherodon linnellii,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/19909/0,https://cichlidae.com/species.php?id=1001
Cichlidae,Cichlids,Sarotherodon lohbergeri,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/19910/0,https://cichlidae.com/species.php?id=1002
Cichlidae,Cichlids,Sarotherodon steinbachi,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/19911/0,https://cichlidae.com/species.php?id=1003
Cichlidae,Cichlids,Schwetzochromis neodon,CEN,LC,Jan-2020,Feb-2009,GS,,https://cichlidae.com/species.php?id=1875
Cichlidae,Cichlids,Serranochromis stappersi,CVU,LC,Jul-2024,Feb-2009,IUCN,https://www.iucnredlist.org/species/181866/7752811,https://cichlidae.com/species.php?id=1318
Cichlidae,Cichlids,Stomatepia mariae,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/20864/0,https://cichlidae.com/species.php?id=996
Cichlidae,Cichlids,Stomatepia mongo,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/20865/0,https://cichlidae.com/species.php?id=997
Cichlidae,Cichlids,Stomatepia pindu,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/20866/0,https://cichlidae.com/species.php?id=995
Cichlidae,Cichlids,Taeniolethrinops,CEN,,Jul-2024,,AK,,https://cichlidae.com/species.php?id=2574
