family,family_common_name,scientific_name,classification,iucn_classification,assessment_date,iucn_assessment_date,authority,authority_link,species_link
Aplocheilidae,Killifish,Pachypanchax,CCR,,Jul-2009,,PVL,,
Aplocheilidae,Killifish,Spectrolebias reticulatus,CEW,NT,Jul-2017,May-2022,RP / (IUCN),https://caresforfish.org/?page_id=475,
Bedotiidae,Madagascan rainbowfish,Bedotia albomarginata,EN,,Jun-2016,,IUCN,http://www.iucnredlist.org/apps/redlist/details/55324377/0,
Bedotiidae,Madagascan rainbowfish,Bedotia marojejy,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia masoala,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia tricolor,CR,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,CR,,May-2012,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Bedotia,CR,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Rheocles alaotrensis,EN,,Jul-2016,,IUCN,http://www.iucnredlist.org/apps/redlist/details/19478/0,
Bedotiidae,Madagascan rainbowfish,Rheocles derhami,CCR,,,,PVL,,
Bedotiidae,Madagascan rainbowfish,Rheocles lateralis,CVU,,,,PVL,,
Bedotiidae,Madagascan rainbowfish,Rheocles pellegrini,CVU,,,,PVL,,
Bedotiidae,Madagascan rainbowfish,Rheocles sikorae,CEN,,,,PVL,,
Bedotiidae,Madagascan rainbowfish,Rheocles vatosoa,VU,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Rheocles wrightae,EN,,,,IUCN,,
Bedotiidae,Madagascan rainbowfish,Rheocles,CVU,,,,PVL,,
Bedotiidae,Madagascan rainbowfish,Rheocles,CCR,,,,PVL,,
Characidae,Tetras,Arnoldichthys spilopterus,CEN,,,,PVL,https://caresforfish.org/?page_id=854,
Characidae,Tetras,Rachoviscus crassiceps,CEN,,,,PVL,https://caresforfish.org/?page_id=854,
Characidae,Tetras,Rachoviscus graciliceps,CEN,,,,PVL,https://caresforfish.org/?page_id=854,
Cichlidae,Cichlids,Allochromis welcommei,CCR,VU,Jan-2017,Jan-2016,GS,,https://cichlidae.com/species.php?id=1980
Cichlidae,Cichlids,Altolamprologus calvus,CCR,NT,Jan-2024,Jan-2006,AK,,https://cichlidae.com/species.php?id=5
Cichlidae,Cichlids,Amatitlania altoflava,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=196
Cichlidae,Cichlids,Amatitlania kanna,CVU,EN,Feb-2023,Jun-2019,PVL,,https://cichlidae.com/species.php?id=2011
Cichlidae,Cichlids,Amatitlania myrnae,CEN,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=198
Cichlidae,Cichlids,Amatitlania nanolutea,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=199
Cichlidae,Cichlids,Amatitlania sajica,CNT,VU,Feb-2023,Jun-2019,PVL,,https://cichlidae.com/species.php?id=201
Cichlidae,Cichlids,Amatitlania septemfasciata,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=202
Cichlidae,Cichlids,Amphilophus istlanus,CVU,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=188
Cichlidae,Cichlids,Amphilophus lyonsi,CCR,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=167
Cichlidae,Cichlids,Astatotilapia aeneocolor,VU,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/60498/0,https://cichlidae.com/species.php?id=379
Cichlidae,Cichlids,Astatotilapia barbarae,CR,,May-2012,,IUCN,http://www.iucnredlist.org/details/2193/0,https://cichlidae.com/species.php?id=759
Cichlidae,Cichlids,Astatotilapia brownae,CVU,CR,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=761
Cichlidae,Cichlids,Astatotilapia desfontainii,CCR,EN,Jan-2017,Feb-2006,GS,,https://cichlidae.com/species.php?id=373
Cichlidae,Cichlids,Astatotilapia flaviijosephi,CVU,VU,Jan-2017,Jan-2013,PVL,,https://cichlidae.com/species.php?id=798
Cichlidae,Cichlids,Astatotilapia latifasciata,CEN,CR,Jan-2017,Jan-1996,GS,,https://cichlidae.com/species.php?id=560
Cichlidae,Cichlids,Astatotilapia nubila,VU,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/60340/0,https://cichlidae.com/species.php?id=561
Cichlidae,Cichlids,Astatotilapia tweddlei,VU,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/60847/0,https://cichlidae.com/species.php?id=785
Cichlidae,Cichlids,Astatotilapia velifer,VU,,Aug-1996,,IUCN,http://www.iucnredlist.org/details/2199/0,https://cichlidae.com/species.php?id=786
Cichlidae,Cichlids,Astatotilapia,CEN,,Jul-2024,,PG,,
Cichlidae,Cichlids,Astatotilapia,CCR,,Jan-2020,,PVL,,
Cichlidae,Cichlids,Astatotilapia,CEN,,Jan-2017,,GS,,
Cichlidae,Cichlids,Astatotilapia,CEN,,Jan-2017,,GS,,
Cichlidae,Cichlids,Astatotilapia,CVU,,Jan-2017,,GS,,
Cichlidae,Cichlids,Aulonocara baenschi,CEN,CR,Jan-2017,Jan-2018,AK,,https://cichlidae.com/species.php?id=13
Cichlidae,Cichlids,Aulonocara ethelwynnae,NT,,May-2018,,IUCN,https://www.iucnredlist.org/species/61060/148658521,https://cichlidae.com/species.php?id=15
Cichlidae,Cichlids,Aulonocara guentheri,CEN,EN,Jan-2017,May-2018,AK,,https://cichlidae.com/species.php?id=16
Cichlidae,Cichlids,Aulonocara kandeense,CR,,May-2018,,IUCN,http://www.iucnredlist.org/details/61068/0,https://cichlidae.com/species.php?id=415
Cichlidae,Cichlids,Aulonocara maylandi,CR,,May-2018,,IUCN,http://www.iucnredlist.org/details/61067/0,https://cichlidae.com/species.php?id=417
Cichlidae,Cichlids,Aulonocara nyassae,CEN,NT,Jan-2024,Jun-2018,AK,,https://cichlidae.com/species.php?id=413
