Scientific_Name,Common_Name,Vendor,Product_Type,Tags,URL,Source,Found_In_Multiple_Sources
Fenestratarum culum,Fenestratarum Culum,BUCE,Aquatic Plant,aquarium plant; aquarium plants; Aquatic Plants; Availability_In Stock; Bucephalandra; Care_Easy; Collection_Aquarium Plants; Collection_Bucephalandra; cryptober; epiphyte; instock; Light_Low; Light_Medium; limited quantity; Low Tech; Midground; Origin_Asia; Other_Rare; Price_16.00-24.99; Price_25.00-39.99; Price_5.00-15.99,https://buceplant.com/products/fenestratarum-culum,Buce Plant,No
Fenestratarum mulyadii,Fenestratarum Mulyadii,BUCE,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; arrival; Availability_In Stock; Bucephalandra; Care_Easy; Collection_Aquarium Plants; Collection_Bucephalandra; cryptober; instock; Light_Low; Light_Medium; Low Tech; Midground; Origin_Asia; Other_Rare; Price_16.00-24.99; Price_25.00-39.99; Price_5.00-15.99,https://buceplant.com/products/fenestratarum-mulyadii,Buce Plant,No
Fissidens fontanus,Fissidens Fontanus on Stainless Steel,BUCE,Moss,Aquarium Plant; aquarium plant decor; aquarium plants; Aquatic Plants; Availability_In Stock; Care_Easy; Collection_Aquarium Plants; decor; Foreground; instock; Light_Low; Light_Medium; Low Tech; Midground; Moss; Origin_North America; Price_16.00-24.99; Price_25.00-39.99; Price_40.00-59.99; Price_5.00-15.99,https://buceplant.com/products/fissidens-fontanus-on-stainless-steel-large,Buce Plant,Yes
Fissidens fontanus,Fissidens Fontanus,BUCE,Moss,Aquarium Plant; aquarium plants; Aquatic Plants; Availability_In Stock; Care_Easy; Collection_Aquarium Plants; Foreground; instock; Light_Low; Light_Medium; limited quantity; Low Tech; Moss; Origin_North America; Price_5.00-15.99,https://buceplant.com/products/fissidens-fontanus-1,Buce Plant,Yes
Fissidens nobilis,Fissidens Nobilis,Aquarium Plants Factory,Aquarium Moss,Buy 2 Get 1 Free; Fissidens,https://aquariumplantsfactory.com/products/fissidens-nobilis,Aquarium Plants Factory,No
Fittonia albivenis,Fittonia Albivenis On Clay Moss Ball,ACW,Terrarium Plant,aquarium plant decor; Availability_In Stock; Care_Easy; Collection_Terrestrial Plants; instock; Light_Low; Light_Medium; Moss; Price_5.00-15.99; Terrarium plant; terrarium plants,https://buceplant.com/products/fittonia-albivenis-on-clay-moss-ball,Buce Plant,No
Flame moss,Flame Moss,Aquarium Plants Factory,Aquarium Moss,Aquatic Mosses; Buy 2 Get 1 Free,https://aquariumplantsfactory.com/products/flame-moss,Aquarium Plants Factory,Yes
Flame moss,Flame Moss Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Aquatic Mosses; Freshwater; In Vitro Tissue Culture; Sale; Taxiphyllum,https://aquariumplantsfactory.com/products/flame-moss-in-vitro,Aquarium Plants Factory,Yes
Flame moss,Flame Moss on Stainless Steel,BUCE,Moss,Aquarium Plant; aquarium plant decor; aquarium plants; Aquatic Plants; Availability_In Stock; Care_Easy; Collection_Aquarium Plants; decor; epiphyte; Foreground; instock; Light_Low; Light_Medium; Low Tech; Moss; Price_16.00-24.99; Price_25.00-39.99; Price_5.00-15.99,https://buceplant.com/products/flame-moss-on-stainless-steel-short-1,Buce Plant,Yes
Flame moss,Flame Moss,BUCE,Moss,Aquarium Plant; aquarium plants; Aquatic Plants; Care_Easy; Collection_Aquarium Plants; epiphyte; Foreground; Light_Low; Light_Medium; Low Tech; Moss; oos; Price_16.00-24.99; Price_25.00-39.99; Price_5.00-15.99,https://buceplant.com/products/flame-moss,Buce Plant,Yes
